VIN,CLAIM_JOB_ID,CLAIM_REG_DATE,TOT_CLAIM_PAYMENT_USD,DAYS_BACK,CLAIM_TYPE,CLUSTER,PART_REPL
4V4NC9EH4HN976513,7554-5193D-584932-1,2016-09-07,105.06,1941,EGR_COOLER,1,0
1M1AW07Y8HM079159,7554-F265-819177-1,2017-08-03,3767.06,1611,EGR_COOLER,2,1
4V4MC9EH1HN975556,7554-5086D-565262-1,2020-03-24,1383.66,647,EGR_COOLER,1,1
1M1AW07Y3HM081482,7554-P783-92978-1,2019-05-16,2502.62,960,EGR_COOLER,2,1
1M1AW07Y3HM081482,7554-P783-89122-2,2018-03-30,3211.63,1372,EGR_COOLER,2,1
1M2AX18CXHM036878,7554-A331-16653-2,2017-10-26,1046.81,1527,EGR_COOLER,2,1
4V4NC9EH9HN961702,7554-5451D-649928-1,2016-12-07,430.69,1850,EGR_COOLER,1,0
4V4NC9EH3HN961713,7554-5476D-505740-2,2020-01-13,363.88,718,EGR_COOLER,1,0
4V4NC9EH3HN961713,7554-5299D-433503-4,2018-08-22,1511.99,1227,EGR_COOLER,1,1
1M1AW07Y4HM081510,7554-D886-359397-1,2019-07-18,5316.55,897,EGR_COOLER,2,1
4V4NC9EH2HN973464,7554-5699D-80321-2,2018-07-30,2055.49,1250,EGR_COOLER,1,1
4V4NC9EH2HN973464,7554-5699D-943576-2,2018-01-31,2140.32,1430,EGR_COOLER,1,1
4V4NC9EJXHN985364,7554-5016D-747382-6,2017-04-18,2328.85,1718,EGR_COOLER,1,1
4V4NC9EH1HN989395,7554-5070D-1806-1,2018-12-28,4500.0,1099,EGR_COOLER,1,1
4V4NC9EH7HN994360,7554-5089D-782163-1,2021-01-13,5047.4,352,EGR_COOLER,1,1
1M2AV04C7JM017815,7554-C626-150328-1,2018-10-25,2989.92,1163,EGR_COOLER,0,1
4V4NC9EH2JN886590,7554-5061D-378217-1,2019-08-08,3639.78,876,EGR_COOLER,1,1
4V4NC9EJ9JN890784,7554-6906U-758929-1,2020-12-11,2519.73,385,EGR_COOLER,1,1
4V4NC9EH7JN888173,7698-2772K-2936-1,2020-09-21,2844.21,466,EGR_COOLER,1,1
1M1AW07YXJM087544,7554-D295-242161-1,2019-02-22,2893.38,1043,EGR_COOLER,3,1
4V4NC9EJ9JN898433,7554-5449D-55564-1,2020-01-10,2924.11,721,EGR_COOLER,1,1
4V4NC9EH1JN897242,7554-5270D-37-1,2020-08-05,3059.05,513,EGR_COOLER,1,1
1M2AX13C1JM043201,7554-A539-594799-3,2020-04-29,3238.69,611,EGR_COOLER,3,1
4V4NC9EHXKN906814,7554-4330D-711299-2,2020-10-12,4234.25,445,EGR_COOLER,1,1
4V4NC9EH3KN900613,7698-2830K-331690-1,2020-04-09,2385.34,631,EGR_COOLER,1,1
1M1AN4GY1KM001629,7698-N901-10851-1,2021-01-21,190.79,344,EGR_COOLER,3,0
4V4NC9EH1KN903882,7554-1841U-779777-1,2021-01-12,2258.89,353,EGR_COOLER,1,1
4V5RC9EJ6KN905241,7554-5251D-397797-1,2019-08-31,232.84,853,EGR_COOLER,1,0
4V4NC9EJ5KN904343,7554-5476D-545050-2,2020-02-27,2974.81,673,EGR_COOLER,1,1
4V4NC9EJ1KN205209,7698-2716K-352647-1,2020-09-17,3044.9,470,EGR_COOLER,1,1
4V4NC9EH6KN906261,7698-2788K-11261-4,2019-12-17,4787.75,745,EGR_COOLER,1,1
4V4NC9EH0KN197231,7554-5555D-148718-5,2021-01-04,1478.2,361,EGR_COOLER,1,1
4V4NC9EH0KN197231,7554-5555D-442189-2,2019-10-23,1215.27,800,EGR_COOLER,1,1
4V4NC9EH2MN265256,7554-5794D-721516-1,2020-10-23,1216.61,434,EGR_COOLER,1,1
1M2AU02C3FM008946,7554-D879-146683-1,2017-04-25,2562.93,1711,EGR_FG,0,1
4V4NC9EH8FN178805,7554-5451D-863127-1,2017-10-10,2479.38,1543,EGR_FG,1,1
1M2AV04C8FM011965,7554-C614-1753-1,2016-02-01,3346.6,2160,EGR_FG,0,1
4V4NC9EJ2FN184344,7698-2716K-132308-2,2016-12-15,2274.76,1842,EGR_FG,1,1
4V4NC9EH6FN181508,7554-5086D-734959-1,2017-03-31,2310.81,1736,EGR_FG,1,1
1M1AW07Y9FM047124,7698-N953-104682-1,2016-06-16,1014.95,2024,EGR_FG,2,1
4V4NC9EH8FN187441,7554-6906U-142428-1,2018-10-16,62.51,1172,EGR_FG,1,0
4V4NC9EH9FN184984,7554-5706D-743198-1,2017-04-12,2529.54,1724,EGR_FG,1,1
1M1AW09Y7FM045661,7554-C652-412573-1,2016-02-23,2895.98,2138,EGR_FG,2,1
1M2AV04C8FM013327,7554-C695-7192-1,2018-04-24,3609.91,1347,EGR_FG,0,1
4V4NC9EJ4FN928056,7698-2815K-69680-1,2015-12-04,2420.01,2219,EGR_FG,1,1
4V4NC9EJ4FN928056,7698-2815K-129088-1,2016-11-28,269.87,1859,EGR_FG,1,0
1M1AW01YXFM007787,7554-A228-965537-1,2018-03-01,3852.75,1401,EGR_FG,2,1
1M1AW01YXFM007787,7554-A228-562044-1,2020-03-19,3305.96,652,EGR_FG,2,1
4V4NC9EH2GN929303,7698-2773K-4742-1,2018-09-24,1387.54,1194,EGR_FG,1,1
4V4NC9EH2GN929303,7698-2773K-3051-1,2016-11-09,2422.96,1878,EGR_FG,1,1
4V4NC9DG2GN940214,7554-5794D-674218-1,2017-01-10,2594.48,1816,EGR_FG,1,1
4V4NC9DG2GN940214,7554-5794D-674218-2,2017-01-10,250.0,1816,EGR_FG,1,0
4V4NC9EH4GN943011,7554-5269D-689323-1,2017-01-31,141.12,1795,EGR_FG,1,0
4V4NC9EH4GN943011,7554-5269D-832698-1,2017-08-25,1529.91,1589,EGR_FG,1,1
1M1AW07Y6GM055411,7554-A327-214777-1,2019-01-21,5031.76,1075,EGR_FG,2,1
4V4NC9EH9GN951802,7554-6906U-363143-1,2019-07-23,80.05,892,EGR_FG,1,0
4V4NC9EH1GN956959,7554-5037D-710480-3,2017-03-30,780.8,1737,EGR_FG,1,0
4V4NC9EHXGN955390,7554-5474D-25731-1,2018-01-31,2922.72,1430,EGR_FG,1,1
1M1AW21Y2GM011863,7554-C602-7364-2,2018-04-24,2541.96,1347,EGR_FG,2,1
1M1AW07Y6GM053433,7554-A228-663326-1,2020-08-05,2779.3,513,EGR_FG,2,1
4V4NC9EJ1GN943115,7554-5674D-458908-1,2019-11-12,8884.0,780,EGR_FG,1,1
4V4NC9EH7GN957775,7554-5794D-606116-1,2016-10-06,1900.64,1912,EGR_FG,1,1
4V4NC9EJ3GN961941,7554-5493D-347021-1,2019-07-01,3029.74,914,EGR_FG,1,1
1M2AX13C7GM034737,7554-F286-726617-1,2019-06-03,2896.19,942,EGR_FG,2,1
4V4NC9EH7GN975242,7554-5477D-418855-1,2016-02-29,337.56,2132,EGR_FG,1,0
1M2AX04C7GM032110,7554-A357-900802-1,2017-11-30,3235.83,1492,EGR_FG,2,1
1M2AX04C7GM032110,7554-A357-218747-1,2019-01-24,3149.4,1072,EGR_FG,2,1
4V4NC9EH4HN976513,7554-5193D-584932-1,2016-09-07,105.06,1941,EGR_FG,1,0
1M1AW07Y8HM079159,7554-F265-819177-1,2017-08-03,3767.06,1611,EGR_FG,2,1
4V4MC9EH1HN975556,7554-5086D-565262-1,2020-03-24,1383.66,647,EGR_FG,1,1
1M1AW07Y3HM081482,7554-P783-92978-1,2019-05-16,2502.62,960,EGR_FG,2,1
1M1AW07Y3HM081482,7554-P783-89122-2,2018-03-30,3211.63,1372,EGR_FG,2,1
1M2AX18CXHM036878,7554-A331-16653-2,2017-10-26,1046.81,1527,EGR_FG,2,1
4V4NC9EH9HN961702,7554-5451D-649928-1,2016-12-07,430.69,1850,EGR_FG,1,0
4V4NC9EH3HN961713,7554-5476D-505740-2,2020-01-13,363.88,718,EGR_FG,1,0
4V4NC9EH3HN961713,7554-5299D-433503-4,2018-08-22,1511.99,1227,EGR_FG,1,1
1M1AW07Y4HM081510,7554-D886-359397-1,2019-07-18,5316.55,897,EGR_FG,2,1
4V4NC9EH2HN973464,7554-5699D-80321-2,2018-07-30,2055.49,1250,EGR_FG,1,1
4V4NC9EH2HN973464,7554-5699D-943576-2,2018-01-31,2140.32,1430,EGR_FG,1,1
4V4NC9EJXHN985364,7554-5016D-747382-6,2017-04-18,2328.85,1718,EGR_FG,1,1
4V4NC9EH1HN989395,7554-5070D-1806-1,2018-12-28,4500.0,1099,EGR_FG,1,1
4V4NC9EH7HN994360,7554-5089D-782163-1,2021-01-13,5047.4,352,EGR_FG,1,1
1M2AV04C7JM017815,7554-C626-150328-1,2018-10-25,2989.92,1163,EGR_FG,0,1
4V4NC9EH2JN886590,7554-5061D-378217-1,2019-08-08,3639.78,876,EGR_FG,1,1
4V4NC9EJ9JN890784,7554-6906U-758929-1,2020-12-11,2519.73,385,EGR_FG,1,1
4V4NC9EH7JN888173,7698-2772K-2936-1,2020-09-21,2844.21,466,EGR_FG,1,1
1M1AW07YXJM087544,7554-D295-242161-1,2019-02-22,2893.38,1043,EGR_FG,3,1
4V4NC9EJ9JN898433,7554-5449D-55564-1,2020-01-10,2924.11,721,EGR_FG,1,1
4V4NC9EH1JN897242,7554-5270D-37-1,2020-08-05,3059.05,513,EGR_FG,1,1
1M2AX13C1JM043201,7554-A539-594799-3,2020-04-29,3238.69,611,EGR_FG,3,1
4V4NC9EHXKN906814,7554-4330D-711299-2,2020-10-12,4234.25,445,EGR_FG,1,1
4V4NC9EH3KN900613,7698-2830K-331690-1,2020-04-09,2385.34,631,EGR_FG,1,1
1M1AN4GY1KM001629,7698-N901-10851-1,2021-01-21,190.79,344,EGR_FG,3,0
4V4NC9EH1KN903882,7554-1841U-779777-1,2021-01-12,2258.89,353,EGR_FG,1,1
4V5RC9EJ6KN905241,7554-5251D-397797-1,2019-08-31,232.84,853,EGR_FG,1,0
4V4NC9EJ5KN904343,7554-5476D-545050-2,2020-02-27,2974.81,673,EGR_FG,1,1
4V4NC9EJ1KN205209,7698-2716K-352647-1,2020-09-17,3044.9,470,EGR_FG,1,1
4V4NC9EH6KN906261,7698-2788K-11261-4,2019-12-17,4787.75,745,EGR_FG,1,1
4V4NC9EH0KN197231,7554-5555D-148718-5,2021-01-04,1478.2,361,EGR_FG,1,1
4V4NC9EH0KN197231,7554-5555D-442189-2,2019-10-23,1215.27,800,EGR_FG,1,1
4V4NC9EH2MN265256,7554-5794D-721516-1,2020-10-23,1216.61,434,EGR_FG,1,1
1M2AU02C3FM008946,7554-D879-146683-1,2017-04-25,2562.93,1711,EGR_SENSORS,0,1
4V4NC9EH8FN178805,7554-5451D-863127-1,2017-10-10,2479.38,1543,EGR_SENSORS,1,1
1M2AV04C8FM011965,7554-C614-1753-1,2016-02-01,3346.6,2160,EGR_SENSORS,0,1
4V4NC9EJ2FN184344,7698-2716K-132308-2,2016-12-15,2274.76,1842,EGR_SENSORS,1,1
4V4NC9EH6FN181508,7554-5086D-734959-1,2017-03-31,2310.81,1736,EGR_SENSORS,1,1
1M1AW07Y9FM047124,7698-N953-104682-1,2016-06-16,1014.95,2024,EGR_SENSORS,2,1
4V4NC9EH8FN187441,7554-6906U-142428-1,2018-10-16,62.51,1172,EGR_SENSORS,1,0
4V4NC9EH9FN184984,7554-5706D-743198-1,2017-04-12,2529.54,1724,EGR_SENSORS,1,1
1M1AW09Y7FM045661,7554-C652-412573-1,2016-02-23,2895.98,2138,EGR_SENSORS,2,1
1M2AV04C8FM013327,7554-C695-7192-1,2018-04-24,3609.91,1347,EGR_SENSORS,0,1
4V4NC9EJ4FN928056,7698-2815K-69680-1,2015-12-04,2420.01,2219,EGR_SENSORS,1,1
4V4NC9EJ4FN928056,7698-2815K-129088-1,2016-11-28,269.87,1859,EGR_SENSORS,1,0
1M1AW01YXFM007787,7554-A228-965537-1,2018-03-01,3852.75,1401,EGR_SENSORS,2,1
1M1AW01YXFM007787,7554-A228-562044-1,2020-03-19,3305.96,652,EGR_SENSORS,2,1
4V4NC9EH2GN929303,7698-2773K-4742-1,2018-09-24,1387.54,1194,EGR_SENSORS,1,1
4V4NC9EH2GN929303,7698-2773K-3051-1,2016-11-09,2422.96,1878,EGR_SENSORS,1,1
4V4NC9DG2GN940214,7554-5794D-674218-1,2017-01-10,2594.48,1816,EGR_SENSORS,1,1
4V4NC9DG2GN940214,7554-5794D-674218-2,2017-01-10,250.0,1816,EGR_SENSORS,1,0
4V4NC9EH4GN943011,7554-5269D-689323-1,2017-01-31,141.12,1795,EGR_SENSORS,1,0
4V4NC9EH4GN943011,7554-5269D-832698-1,2017-08-25,1529.91,1589,EGR_SENSORS,1,1
1M1AW07Y6GM055411,7554-A327-214777-1,2019-01-21,5031.76,1075,EGR_SENSORS,2,1
4V4NC9EH9GN951802,7554-6906U-363143-1,2019-07-23,80.05,892,EGR_SENSORS,1,0
4V4NC9EH1GN956959,7554-5037D-710480-3,2017-03-30,780.8,1737,EGR_SENSORS,1,0
4V4NC9EHXGN955390,7554-5474D-25731-1,2018-01-31,2922.72,1430,EGR_SENSORS,1,1
1M1AW21Y2GM011863,7554-C602-7364-2,2018-04-24,2541.96,1347,EGR_SENSORS,2,1
1M1AW07Y6GM053433,7554-A228-663326-1,2020-08-05,2779.3,513,EGR_SENSORS,2,1
4V4NC9EJ1GN943115,7554-5674D-458908-1,2019-11-12,8884.0,780,EGR_SENSORS,1,1
4V4NC9EH7GN957775,7554-5794D-606116-1,2016-10-06,1900.64,1912,EGR_SENSORS,1,1
4V4NC9EJ3GN961941,7554-5493D-347021-1,2019-07-01,3029.74,914,EGR_SENSORS,1,1
1M2AX13C7GM034737,7554-F286-726617-1,2019-06-03,2896.19,942,EGR_SENSORS,2,1
4V4NC9EH7GN975242,7554-5477D-418855-1,2016-02-29,337.56,2132,EGR_SENSORS,1,0
1M2AX04C7GM032110,7554-A357-900802-1,2017-11-30,3235.83,1492,EGR_SENSORS,2,1
1M2AX04C7GM032110,7554-A357-218747-1,2019-01-24,3149.4,1072,EGR_SENSORS,2,1
4V4NC9EH4HN976513,7554-5193D-584932-1,2016-09-07,105.06,1941,EGR_SENSORS,1,0
1M1AW07Y8HM079159,7554-F265-819177-1,2017-08-03,3767.06,1611,EGR_SENSORS,2,1
4V4MC9EH1HN975556,7554-5086D-565262-1,2020-03-24,1383.66,647,EGR_SENSORS,1,1
1M1AW07Y3HM081482,7554-P783-92978-1,2019-05-16,2502.62,960,EGR_SENSORS,2,1
1M1AW07Y3HM081482,7554-P783-89122-2,2018-03-30,3211.63,1372,EGR_SENSORS,2,1
1M2AX18CXHM036878,7554-A331-16653-2,2017-10-26,1046.81,1527,EGR_SENSORS,2,1
4V4NC9EH9HN961702,7554-5451D-649928-1,2016-12-07,430.69,1850,EGR_SENSORS,1,0
4V4NC9EH3HN961713,7554-5476D-505740-2,2020-01-13,363.88,718,EGR_SENSORS,1,0
4V4NC9EH3HN961713,7554-5299D-433503-4,2018-08-22,1511.99,1227,EGR_SENSORS,1,1
1M1AW07Y4HM081510,7554-D886-359397-1,2019-07-18,5316.55,897,EGR_SENSORS,2,1
4V4NC9EH2HN973464,7554-5699D-80321-2,2018-07-30,2055.49,1250,EGR_SENSORS,1,1
4V4NC9EH2HN973464,7554-5699D-943576-2,2018-01-31,2140.32,1430,EGR_SENSORS,1,1
4V4NC9EJXHN985364,7554-5016D-747382-6,2017-04-18,2328.85,1718,EGR_SENSORS,1,1
4V4NC9EH1HN989395,7554-5070D-1806-1,2018-12-28,4500.0,1099,EGR_SENSORS,1,1
4V4NC9EH7HN994360,7554-5089D-782163-1,2021-01-13,5047.4,352,EGR_SENSORS,1,1
1M2AV04C7JM017815,7554-C626-150328-1,2018-10-25,2989.92,1163,EGR_SENSORS,0,1
4V4NC9EH2JN886590,7554-5061D-378217-1,2019-08-08,3639.78,876,EGR_SENSORS,1,1
4V4NC9EJ9JN890784,7554-6906U-758929-1,2020-12-11,2519.73,385,EGR_SENSORS,1,1
4V4NC9EH7JN888173,7698-2772K-2936-1,2020-09-21,2844.21,466,EGR_SENSORS,1,1
1M1AW07YXJM087544,7554-D295-242161-1,2019-02-22,2893.38,1043,EGR_SENSORS,3,1
4V4NC9EJ9JN898433,7554-5449D-55564-1,2020-01-10,2924.11,721,EGR_SENSORS,1,1
4V4NC9EH1JN897242,7554-5270D-37-1,2020-08-05,3059.05,513,EGR_SENSORS,1,1
1M2AX13C1JM043201,7554-A539-594799-3,2020-04-29,3238.69,611,EGR_SENSORS,3,1
4V4NC9EHXKN906814,7554-4330D-711299-2,2020-10-12,4234.25,445,EGR_SENSORS,1,1
4V4NC9EH3KN900613,7698-2830K-331690-1,2020-04-09,2385.34,631,EGR_SENSORS,1,1
1M1AN4GY1KM001629,7698-N901-10851-1,2021-01-21,190.79,344,EGR_SENSORS,3,0
4V4NC9EH1KN903882,7554-1841U-779777-1,2021-01-12,2258.89,353,EGR_SENSORS,1,1
4V5RC9EJ6KN905241,7554-5251D-397797-1,2019-08-31,232.84,853,EGR_SENSORS,1,0
4V4NC9EJ5KN904343,7554-5476D-545050-2,2020-02-27,2974.81,673,EGR_SENSORS,1,1
4V4NC9EJ1KN205209,7698-2716K-352647-1,2020-09-17,3044.9,470,EGR_SENSORS,1,1
4V4NC9EH6KN906261,7698-2788K-11261-4,2019-12-17,4787.75,745,EGR_SENSORS,1,1
4V4NC9EH0KN197231,7554-5555D-148718-5,2021-01-04,1478.2,361,EGR_SENSORS,1,1
4V4NC9EH0KN197231,7554-5555D-442189-2,2019-10-23,1215.27,800,EGR_SENSORS,1,1
4V4NC9EH2MN265256,7554-5794D-721516-1,2020-10-23,1216.61,434,EGR_SENSORS,1,1
