Comparison of Random Number Generation Methods
============================================================
Index | random.randint | random.sample | random.uniform | numpy.random.randint
  493 |         150487 |          9367 |        185283 |            207523
  494 |         113327 |         27364 |        148359 |             66691
  495 |          73573 |        214578 |        131189 |            255327
  496 |           6824 |         98504 |        310503 |            129504
  497 |         177655 |        136912 |        198073 |             21190
  498 |         276524 |        221879 |         53941 |             64506
  499 |          88734 |        175875 |        191660 |            308688
  500 |          81798 |         76638 |        234213 |            110396
  501 |          86471 |         72526 |         97508 |             57875
  502 |         179223 |         51071 |        221553 |            221585
  503 |          62869 |         42574 |        198489 |            135561
  504 |         184951 |        250025 |         78962 |            137140
  505 |          97607 |        221872 |        243983 |            270795
  506 |         288984 |        231334 |        210953 |             55726
  507 |          15604 |        178415 |        312580 |             43758
  508 |         228647 |        312534 |        128893 |            250889
  509 |         295001 |         25791 |         60459 |            225811
  510 |          60023 |         34527 |        203567 |             10427
  511 |         137205 |        143792 |         17100 |             21248
  512 |         211713 |         71737 |        253646 |             40714
  513 |          87367 |        314670 |        112603 |            272209
  514 |          16864 |         30807 |        124482 |            277658
  515 |          63985 |         81261 |         77118 |            268306
  516 |          24428 |        317947 |         14013 |             56554
  517 |         203900 |         19226 |        110884 |            101193
  518 |         175578 |         75825 |        115464 |            146280
  519 |         276111 |        176780 |         68621 |             84247
  520 |          67814 |        150212 |        248516 |            267487
  521 |          68567 |         83901 |         80305 |            220378
  522 |          98385 |         38652 |         26707 |            201735
  523 |          28166 |         63426 |         31437 |             56313
  524 |         118397 |         40385 |        242368 |            223490
  525 |         173163 |        243990 |        160685 |            281783
  526 |         278625 |         38563 |        175401 |            131905
  527 |         123366 |         70206 |        212271 |              1344
  528 |         165438 |        239315 |        189287 |            218205
  529 |          33253 |        285218 |         16218 |            196842
  530 |         305355 |        311673 |        294593 |            164932
  531 |         170810 |        201345 |        146365 |             51861
  532 |         154999 |         20140 |         41654 |            190149
  533 |         309672 |        138180 |        313345 |            139639
  534 |          71581 |        179234 |         39568 |            251166
  535 |         169315 |        310405 |        158832 |             21938
  536 |         301286 |        253623 |        262050 |             43114
  537 |         142078 |         30196 |        270912 |             67365
  538 |         178684 |        243744 |         28708 |             40709
  539 |         185528 |        244030 |         73660 |             36621
  540 |          17404 |         47577 |        149081 |            207706
  541 |         275335 |        141536 |        189536 |            205317
  542 |         256373 |        111650 |        152228 |            155109
  543 |         101409 |         15426 |        128938 |            297596
  544 |          45070 |         44774 |         55814 |            308110
  545 |         170320 |        233326 |        309295 |             85922
  546 |         259599 |         68974 |        279143 |            286795
  547 |         160859 |        207163 |        232757 |            191520
  548 |          27843 |         81207 |        320622 |            174548
  549 |         103625 |        136435 |        109569 |            119550
  550 |         183462 |        162139 |         57805 |            302479
  551 |          87237 |        117379 |         98513 |            305148
  552 |         114015 |        160251 |         48225 |            289143
  553 |         302313 |        273500 |        290809 |             98752
  554 |         133717 |        289022 |        255835 |             53800
  555 |         167012 |         18564 |         77381 |            304780
  556 |         180150 |        164100 |        298901 |            313447
  557 |         168621 |         22566 |        274693 |            178084
  558 |          61274 |        151579 |         40237 |            119058
  559 |          53596 |        175776 |        253817 |            189130
  560 |         141603 |        191591 |         18135 |            137912
  561 |         191712 |        153807 |        236952 |              4947
  562 |         102097 |        115168 |        209237 |            154649
  563 |         208587 |        137681 |        126085 |            189289
  564 |         247813 |        198364 |        245421 |              1426
  565 |          69033 |        276975 |        122725 |            259223
  566 |         278212 |         95189 |        179651 |             22614
  567 |         107408 |        129355 |         30334 |             36115
  568 |          70030 |        229651 |        234484 |            319710
  569 |         117178 |        224870 |        223023 |             71694
  570 |          24661 |         34424 |        178949 |             73641
  571 |         226145 |        311971 |         96066 |            240055
  572 |         235554 |         51192 |        175605 |            302045
  573 |          78266 |         37467 |        222269 |            227347
  574 |         184585 |        227701 |        167880 |             82612
  575 |         321531 |        298221 |        228348 |            118503
  576 |         161414 |         94974 |         15661 |            157250
  577 |         287830 |        158479 |        314424 |            167596
  578 |         314519 |        144807 |          2315 |             32909
  579 |         322046 |        216514 |        136179 |             13439
  580 |         120440 |        251545 |         69236 |             36485
  581 |         209203 |         42897 |        169848 |             56316
  582 |          14790 |        257473 |        155945 |            227471
  583 |         187787 |        288313 |        188644 |            307760
  584 |         142087 |        313850 |         81928 |            194698
  585 |         194234 |        123941 |        237613 |            158550
  586 |         103941 |        268572 |        251932 |             91696
  587 |         243979 |        279445 |         72006 |            321600
  588 |         308589 |         36709 |        240201 |             64183
  589 |         137499 |        267786 |         71497 |             61541
  590 |         220875 |        134902 |        134103 |            293714
  591 |         248769 |        241921 |        123643 |            284215
  592 |         292240 |         15884 |        300479 |            140128
  593 |          45831 |        207384 |        291197 |               524
  594 |         321951 |        111923 |        242669 |            112248
  595 |         276069 |         32562 |         97744 |             96101
  596 |         283146 |        168346 |         70396 |            223355
  597 |         288695 |        298305 |        261848 |            221670
  598 |         156561 |        267544 |        258788 |             88883
  599 |          49057 |        290887 |        297392 |            243536
  600 |         210319 |         44550 |        280422 |            265701
  601 |          15286 |        261799 |        277947 |            281583
  602 |         200487 |        262297 |        165140 |            296855
  603 |         263304 |        176090 |        289238 |            109458
  604 |         207727 |        154141 |         83922 |             12124
